Longitude,Latitude
-114.16633555505,51.0815523859193
-114.16625542333,51.0816502303489
-114.166197034965,51.0817457613338
-114.166137895172,51.0818339865407
-114.166073714158,51.0819313514969
-114.166013880141,51.0820287120415
-114.165967838824,51.0821301621586
-114.165903604981,51.0822133701383
-114.165867733373,51.0823207425674
-114.165828985786,51.082434513424
-114.165786563902,51.0825345883007
-114.165782239855,51.0825419012462
-114.165747820831,51.0826497282483
-114.165741687428,51.0827597994206
-114.165702109716,51.0828443423511
-114.16567565913,51.0829503322277
-114.165676725096,51.083045778663
-114.165674887862,51.083140772535
-114.165652544045,51.083178252512
-114.165666596847,51.0832554135096
-114.165682170121,51.0833526651863
-114.165693441142,51.0834645383801
-114.165710551931,51.0835878210874
-114.165729775936,51.0836937462155
-114.165750462978,51.0838028668937
-114.165779038928,51.0838873131924
-114.165784146915,51.0838964403636
-114.165802575762,51.0839822719696
-114.165879685622,51.0840529500288
-114.165868242216,51.0840981789614
-114.165887919878,51.0841264658378
-114.165957054728,51.0841976109365
-114.166021934491,51.0842957077022
-114.166102024145,51.0843887593895
-114.166200201069,51.0844703675179
-114.166284577878,51.0845456017313
-114.166284695975,51.0845789397894
-114.166213197893,51.0846603324304
-114.166227026416,51.0846749272916
-114.166308998563,51.0846848584807
-114.166419308746,51.0847116462797
-114.166425839212,51.084713007011
-114.166576196642,51.0847863203676
-114.166709173153,51.0848660517746
-114.166841349053,51.0849238628401
-114.166983643313,51.084972525791
-114.167133181947,51.0850193515099
-114.16726523342,51.0850419973469
-114.167400182212,51.0850641822106
-114.167546104473,51.0851132959573
-114.16769772829,51.0851345441276
-114.16783269597,51.0851622112698
-114.167977819962,51.0851916912662
-114.168133061761,51.0852115654446
-114.168294857716,51.0852396501446
-114.168437828594,51.0852750694528
-114.16845089455,51.0852787049324
-114.168602554888,51.0853109138904
-114.168770895158,51.0853435561494
-114.168995814294,51.0853820540798
-114.16916271162,51.0854165254618
-114.169331782741,51.0854505358825
-114.169506653024,51.0854840809753
-114.169662648255,51.0855112588406
-114.169809946375,51.0855398200558
-114.169981195314,51.0855742830497
-114.170153851096,51.0855968701782
-114.17034033019,51.0856317680542
-114.170500685253,51.0856612218272
-114.170676257043,51.0856879149115
-114.170848940245,51.0857173511082
-114.17085764142,51.0857177950685
-114.170995536558,51.0857518486383
-114.171141511069,51.0858146616833
-114.171282349441,51.0858605841728
-114.171449314595,51.0859128625398
-114.17160757071,51.0859628700733
-114.171756378857,51.0860064969147
-114.171875520656,51.0860679784304
-114.172038202797,51.0861380734997
-114.172187801698,51.0861995107744
-114.172335292461,51.0862796746647
-114.17249726454,51.0863534235448
-114.172621439081,51.0864021090566
-114.172751489715,51.0864713379537
-114.172901853456,51.0865432767207
-114.172884716015,51.0866154595029
-114.172915891233,51.086614044272
-114.172960063299,51.0865975386133
-114.173034136679,51.0866280289704
-114.173164079148,51.086667571856
-114.17330704563,51.0866988751316
-114.173419629281,51.0867503170279
-114.173551807799,51.0868062973849
-114.173696225442,51.0868380547057
-114.173820433634,51.086895416626
-114.173996819051,51.0869435681624
-114.174158653451,51.0869789523949
-114.174296499834,51.0869983885219
-114.174432970288,51.0870379202639
-114.174553464468,51.0870706255663
-114.174564356404,51.0870747193844
-114.174720428762,51.0871201592031
-114.174860516821,51.0871574016616
-114.175025332311,51.0872137891085
-114.175165498523,51.0872715832817
-114.17529555021,51.0873394393136
-114.175414739553,51.0874109649022
-114.175553501583,51.0874806333804
-114.175679175811,51.0875407320727
-114.175828144095,51.087625000302
-114.175976250296,51.0876722771235
-114.176101979656,51.0877469888932
-114.176218261865,51.0878157770856
-114.176363512051,51.0878744746076
-114.176458770524,51.0879446633985
-114.176468944676,51.087950585723
-114.176587330238,51.0880001891021
-114.1767166168,51.0880557135654
-114.176845910948,51.0881135203524
-114.177015770807,51.088159392922
-114.177160263069,51.0882089570897
-114.177298124512,51.0882306721319
-114.177481058635,51.0882824609792
-114.17762692822,51.0883123845345
-114.177785855357,51.0883436580794
-114.177925157215,51.0883626301389
-114.178072488095,51.0883952909672
-114.178235081454,51.0884366060767
-114.178368623549,51.0884665465993
-114.178505791088,51.0884960256577
-114.17850943075,51.0884996735044
-114.178647392542,51.0885474191014
-114.178808674724,51.0886252712508
-114.178919124829,51.0886840188091
-114.179065012471,51.0887180506207
-114.1792095016,51.0887657855561
-114.179350368593,51.0888139816457
-114.179502102161,51.0888594226278
-114.179637174384,51.0889094548684
-114.179753368811,51.0889531216225
-114.179903722068,51.0890163745467
-114.180066408594,51.089081435884
-114.180236374579,51.0891528792288
-114.180371989741,51.0892070234566
-114.180456204829,51.0892523767598
-114.180598593769,51.0893233946737
-114.180754748933,51.089392108654
-114.180905901654,51.0894795520589
-114.181078034332,51.0895546343388
-114.181221255935,51.0896530489276
-114.181331835801,51.0897483163422
-114.181443876768,51.0898458656594
-114.181566090226,51.0899488782766
-114.181679577091,51.0900450550935
-114.181691940682,51.0900546251648
-114.181805421272,51.0901494327408
-114.18192033792,51.0902401269939
-114.182049799586,51.0903417586945
-114.182153874021,51.0904411455293
